DATESTR,LON,LAT,GGML,GGTYPE,AUSTML,ALLENML,PREFMW
1989-12-27 23:26:57,151.61,-32.952,5.6,ML,5.5,5.63,5.42
1993-07-24 13:33:05,146.485,-38.353,2.9,ML,NaN,2.86,3.19
1993-09-25 02:40:06,146.53,-38.311,3,ML,NaN,3.05,3.32
1994-02-01 05:53:08,146.35,-38.536,3.8,ML,3.8,3.63,3.72
1994-05-21 08:59:18,146.962,-36.034,3,ML,NaN,2.8,3.17
1994-08-06 11:03:51,151.292,-32.917,5.1,ML,5.3,5.08,4.71
1995-01-11 07:11:37,145.992,-38.165,3.1,ML,NaN,3.06,3.15
1995-02-01 10:21:20,146.259,-38.462,3,ML,NaN,2.98,3.07
1995-03-26 06:53:30,147.233,-35.958,3.1,ML,NaN,2.91,3.19
1995-05-03 04:24:23,150.249,-33.186,3,ML,NaN,3.06,3.23
1995-05-03 17:48:25,146.283,-38.472,3,ML,NaN,2.99,3.36
1995-05-20 11:29:11,150.083,-33.868,3.6,ML,3.6,3.49,3.49
1995-07-29 13:43:27,148.735,-34.283,3,ML,NaN,2.72,2.94
1995-07-30 04:41:03,147.658,-36.761,3.6,ML,3.6,3.45,3.52
1995-08-17 01:41:00,148.739,-34.313,3,ML,NaN,2.87,2.93
1995-08-19 09:01:27,148.741,-34.312,3.1,ML,NaN,3.02,3.14
1995-09-12 10:23:55,148.72,-34.31,3.2,ML,NaN,3.1,3.16
1995-10-14 04:11:01,148.761,-34.317,3.1,ML,NaN,3.16,3.23
1995-11-18 09:32:17,144.764,-37.114,3.7,ML,3.7,3.52,3.55
1996-01-16 10:30:16,145.07,-38.284,2.7,ML,NaN,2.57,3
1996-02-18 19:34:39,148.666,-36.152,3.6,ML,3.6,3.43,3.5
1996-05-10 05:48:29,146.145,-37.733,2.5,ML,NaN,2.56,2.96
1996-08-13 12:33:34,149.214,-34.749,3,ML,NaN,2.84,2.99
1996-09-25 04:53:50,146.425,-37.859,3.3,ML,3.3,3.23,3.34
1996-09-25 07:49:57,146.421,-37.863,5,ML,5,4.84,4.44
1996-09-25 07:56:21,146.438,-37.855,2.5,ML,NaN,2.49,NaN
1996-10-01 21:42:21,150.393,-33.83,3,ML,NaN,2.98,3.17
1996-12-10 12:54:26,150.501,-34.153,2.7,ML,NaN,2.85,3.1
1996-12-10 12:58:35,150.504,-34.152,2.5,ML,NaN,2.53,2.87
1996-12-24 22:28:10,145.534,-38.696,3.1,ML,NaN,3.12,3.29
1997-05-04 22:33:18,145.959,-38.135,3.1,ML,NaN,2.96,3.21
1997-06-27 03:20:28,146.094,-36.781,3.9,ML,3.8,3.9,3.85
1997-08-23 00:12:40,148.197,-34.627,3.2,ML,NaN,3.1,3.17
1998-02-14 18:23:34,148.702,-35.375,4.2,ML,4.2,4.04,3.79
1998-03-09 12:40:43,150.055,-32.171,3.6,ML,NaN,3.28,3.34
1998-04-04 09:55:41,146.124,-38.709,3.5,ML,3.3,3.28,3.42
1998-07-17 01:22:39,148.007,-36.439,4.5,ML,4.3,4.22,3.93
1998-11-07 22:42:50,148.893,-35.144,3.1,ML,NaN,2.96,3.04
1999-01-13 09:40:02,146.317,-38.097,3.7,ML,3.5,3.61,3.54
1999-03-14 00:13:32,147.07,-34.009,4.4,ML,4.4,4.16,3.87
1999-03-17 01:58:10,150.748,-34.253,4.4,ML,4.8,4.45,4.34
1999-04-16 10:51:21,145.984,-37.413,3.1,ML,NaN,3.07,3.2
1999-04-16 11:08:10,145.973,-37.415,2.6,ML,NaN,2.62,2.95
1999-07-13 01:42:47,148.976,-34.286,3,ML,NaN,3.14,3.21
1999-09-27 09:29:38,149.163,-34.753,2.8,ML,NaN,2.54,2.81
1999-09-29 00:42:06,150.492,-34.523,2.5,ML,NaN,2.39,NaN
2000-03-16 13:26:30,146.103,-37.496,3.7,ML,3.8,3.62,3.54
2000-06-22 18:13:57,144.864,-36.815,3.1,ML,NaN,3.06,3.27
2000-07-24 07:47:16,145.272,-37.958,2.8,ML,NaN,2.88,3.13
2000-08-03 11:29:34,145.989,-38.752,3,ML,NaN,3.15,3.24
2000-08-29 10:20:25,146.236,-38.391,2.5,ML,NaN,2.77,3.04
2000-08-29 12:05:51,146.246,-38.404,4.8,ML,5,4.44,4.15
2001-01-05 16:04:56,146.006,-38.238,2.7,ML,NaN,2.57,2.92
2001-08-21 23:13:05,145.472,-38.119,3.7,ML,3.6,3.59,3.66
2001-10-13 04:42:05,147.675,-36.833,3.6,ML,3.9,3.37,3.42
2001-10-27 07:58:48,143.643,-35.356,4.8,ML,4.8,4.42,4.19
2001-11-23 03:33:32,148.31,-33.901,3.7,ML,3.8,3.68,3.58
2002-02-14 13:27:21,150.659,-34.425,3.8,ML,3.9,3.58,3.5
2002-08-22 21:23:04,148.245,-33.897,3.9,ML,3.9,3.63,3.65
2002-09-24 07:42:57,146.066,-38.691,3.7,ML,4,3.7,3.67
2002-09-24 13:39:28,146.103,-38.664,3.5,ML,3.5,3.3,3.4
2003-12-11 10:19:21,150.464,-34.498,4.2,ML,4.2,3.95,3.81
2004-02-28 11:32:09,147.694,-35.005,3.6,ML,3.9,3.47,3.46
2007-03-08 02:34:13,145.746,-37.903,3.6,ML,3.5,3.68,3.66
2009-01-12 08:48:43,145.867,-38.425,3.7,ML,3.5,3.57,3.54
2009-03-06 09:55:37,145.852,-38.413,4.6,ML,4.6,4.66,4.42
2009-03-18 05:28:18,145.8581,-38.4016,4.6,ML,4.6,4.51,4.33
2011-07-05 01:32:11,145.869,-38.416,4.4,ML,4.38,4.47,4.1
2012-06-05 09:12:09,148.757,-34.304,3.1,ML,NaN,3.25,NaN
2012-06-08 11:31:03,150.521,-30.805,4.4,ML,4.19,4.33,3.99
2012-06-19 10:53:29,146.29,-38.259,5.6,ML,5.4,5.35,5
2012-06-22 09:16:02,148.646,-34.066,3.9,ML,3.74,3.85,NaN
2012-07-20 09:11:30,146.215,-38.231,4.4,ML,4.35,4.4,4.37
2013-01-12 16:10:53,148.918,-34.186,3.2,ML,NaN,3.34,NaN
2013-10-07 20:15:40,150.788,-34.165,3.6,ML,3.51,3.62,NaN
2013-10-24 12:49:38,150.762,-34.172,2.9,ML,NaN,2.94,NaN
2014-09-23 11:55:10,151.367,-32.87,3.1,ML,NaN,3.13,NaN
2014-12-02 16:34:40,145.846,-38.418,3.4,ML,3.39,3.4,NaN
2014-12-03 19:05:10,145.4599,-38.0668,3.4,ML,3.26,3.48,NaN
2015-02-15 15:57:07,151.5552,-25.1021,5.2,ML,5.17,5.28,4.76
2016-01-30 17:39:14,149.08,-35.91,3.6,ML,3.58,3.63,NaN
2016-02-10 05:03:28,148.8375,-35.0019,3.3,ML,NaN,3.26,NaN
2016-04-04 19:42:32,146.034,-38.5716,3.2,ML,NaN,3.31,NaN
2017-01-03 14:13:08,150.7077,-34.1792,3.5,ML,3.84,3.82,NaN
2017-01-31 19:40:15,146.2745,-38.4295,3.4,ML,3.45,3.57,NaN
2017-04-13 16:31:05,148.956,-33.464,4.3,ML,4.27,4.24,NaN