ID,Name,Code,Area,Region,b,Ao,beta,No,EMR,Comment
65,West Tassie,WTAS,63979.58935,Inland - East,0,0,0,0,F,
35,Naturaliste Plateau,NPLT,86360.32471,Offshore Basin - Other,0,0,0,0,F,
50,Pine Creek,PNCK,57159.11922,Continental - North,0,0,0,0,F,
29,McArthur,MCAR,353165.1077,Continental - North,0,0,0,0,F,
12,Cape York,CAYK,396428.5759,Continental - North,0,0,0,0,F,
31,Mt Isa,MISA,242078.7152,Continental - North,0,0,0,0,F,
64,Wallaby Plateau,WLBY,123459.4546,Offshore Basin - Other,0,0,0,0,F,
51,Queensland Plateau,QLDP,382179.7192,Offshore Basin - Other,0,0,0,0,F,
30,Money Shoal-Arafura Basin,MSAB,480886.7591,Offshore Basin - Northern,0,0,0,0,F,
47,Papuan Basin,PAPU,302791.073,Offshore Basin - Northern,0,0,0,0,F,
7,Bligh Basin,BLHB,48782.17989,Offshore Basin - Nothern,0,0,0,0,F,
15,Eastern-Papuan Plateau,EPPL,87302.04145,Offshore Basin - Northern,0,0,0,0,F,
13,Carpentaria Basin,CARP,459521.9577,Offshore Basin - Northern,0,0,0,0,F,
3,Amadeus Basin,AMDS,123934.1496,Continental - Central,0,0,0,0,F,
62,Uluru,ULUR,63532.26212,Continental - Central,0,0,0,0,F,
4,Arunta Block,ARTA,192963.8497,Continental - Central,0,0,0,0,F,
33,Musgrave East,MGVE,61657.64281,Continental - Central,0,0,0,0,F,
34,Musgrave West,MGVW,104981.6474,Continental - Central,0,0,0,0,F,
38,New Ord River,NODR,117563.4805,Continental - North,0,0,0,0,F,
27,Kimberley Basin,KIMB,118370.1902,Continental - North,0,0,0,0,F,
66,Wiso-Georgina Basin,WGAB,805492.4831,Inland Basin,0,0,0,0,F,
17,Fitzroy Crossing,FITZ,167299.4649,Continental - North,0,0,0,0,F,
52,Scott Plateau,SCOT,141362.661,Offshore Basin - Northern,0,0,0,0,F,
9,Broome Basin,BROM,204635.9892,Offshore Basin - Other,0,0,0,0,F,
28,Marble Bar,MBLB,100441.3323,Continental - West,0,0,0,0,F,
40,Northwest Basin,NWBN,422978.4907,Offshore Basin - Northern,0,0,0,0,F,
11,Canning Basin,CNNG,402522.1792,Inland Basin,0,0,0,0,F,
21,Gascoyne,GSYN,168268.0236,Continental - West,0,0,0,0,F,
5,Barrow-Dampier Basin,BWDP,483638.3723,Offshore Basin - Other,0,0,0,0,F,
49,Pilbara,PILB,200961.5511,Continental - West,0,0,0,0,F,
48,Perth Basin,PERB,102887.486,Offshore Basin - Other,0,0,0,0,F,
54,Shark Bay,SKBY,264394.3655,Offshore Basin - Other,0,0,0,0,F,
2,Albany-Fraser,ALBF,200179.7116,Continental - West,0,0,0,0,F,
68,Yilgarn Craton,YILG,626871.6849,Continental - West,0,0,0,0,F,
69,Yilgarn SW,YGSW,88368.80118,Continental - West,0,0,0,0,F,
20,Fraser,FRSR,77771.78092,Continental - West,0,0,0,0,F,
16,Eyre Peninsula,EYPN,11036.83838,Continental - East,0,0,0,0,F,
43,Officer-Eucla Basin,OFEU,443852.0121,Inland Basin,0,0,0,0,F,
1,Adelaide Foldbelt,ADEF,72062.44599,Continental - East,0,0,0,0,F,
18,Flinders Ranges,FLDR,50630.86352,Continental - East,0,0,0,0,F,
32,Mt Lofty Ranges,LOFT,17359.01487,Continental - East,0,0,0,0,F,
8,Broken Hill,BKHL,41588.42369,Continental - East,0,0,0,0,F,
61,Torrens,TRNS,38298.37983,Continental - East,0,0,0,0,F,
37,New England,NENG,146291.792,Inland - East,0,0,0,0,F,
36,NE Qld Basins,NEQB,635504.856,Inland - East,0,0,0,0,F,
60,Tamworth,TAMW,63503.24126,Inland - East,0,0,0,0,F,
23,Goulburn,GLBN,18848.16555,Inland - East,0,0,0,0,F,
67,Wyalong,WYLG,7860.459294,Inland - East,0,0,0,0,F,
58,Strzelecki Ranges,STRZ,7482.771028,Inland - East,0,0,0,0,F,
39,Newcastle,NEWC,17890.28487,Inland - East,0,0,0,0,F,
10,Bunnaloo,BNLO,8871.258751,Inland - East,0,0,0,0,F,
44,Orange,ORNG,37993.29332,Inland - East,0,0,0,0,F,
55,Southern NSW Coastline,SNSW,26358.6426,Inland - East,0,0,0,0,F,
53,SE Highlands,SEHI,59602.70519,Inland - East,0,0,0,0,F,
41,NSW Offshore Coast,NSWO,69078.009,Offshore Basin - Other,0,0,0,0,F,
56,Southern Ocean,SOCN,423494.3811,Offshore Basin - Other,0,0,0,0,F,
45,Otway Shelf,OTYB,72321.26372,Offshore Basin - Other,0,0,0,0,F,
46,Otway-Sorell Basin,OTSR,90608.57199,Offshore Basin - Other,0,0,0,0,F,
26,Kanmantoo Province,KNMT,95318.85182,Inland - East,0,0,0,0,F,
42,NW Tasmania,MWTA,38699.85345,Offshore Basin - Other,0,0,0,0,F,
63,Victorian Goldfields,VICG,61711.14519,Inland - East,0,0,0,0,F,
19,Flinders-East Tassie,FLET,114424.7108,Inland - East,0,0,0,0,F,
59,Sydney Basin,SYDB,17861.61624,Inland - East,0,0,0,0,F,
25,Gunnedah Basin,GNDH,68532.88896,Inland - East,0,0,0,0,F,
22,Gawler Craton,GAWL,296436.2246,Continental - East,0,0,0,0,F,
57,Spencer Gulf,SPCG,110327.9521,Continental - East,0,0,0,0,F,
6,Benambra Terrane,BNBA,80850.24542,Inland - East,0,0,0,0,F,
14,Eastern Inland Basins,EIBA,1371441.919,Inland Basin,0,0,0,0,F,
24,Greater Melbourne,MELB,58640.61986,Inland - East,0,0,0,0,F,